Gene name,baseMean,log2FoldChange,lfcSE (standard error),Wald stat,P value,Adj. P value
Paqr7,100.9018521,-2.311192552,0.785320626,-2.942992295,0.003250565,0.033719325
Zbtb5,56.77861113,-2.877825919,0.978114072,-2.942219114,0.003258693,0.033769832
Aes,458.7671867,-1.53565984,0.522217036,-2.940654428,0.003275197,0.033906959
Opcml,490.2092418,-1.699639954,0.578128388,-2.93990053,0.003283176,0.033955644
Vstm2a,888.406211,-1.636985292,0.557141405,-2.93818639,0.003301385,0.034109921
Cacybp,932.2299735,1.287565725,0.438278364,2.937780715,0.003305707,0.034120565
Sqstm1,4244.524214,1.005726276,0.342393534,2.937340153,0.003310408,0.034135081
Syt10,67.65022048,-2.555601887,0.870212308,-2.936756771,0.003316641,0.034165361
Gorasp1,90.59113575,-2.480271279,0.84491197,-2.935538099,0.003329697,0.034231798
Rapgef2,298.5538628,-1.659205589,0.565185515,-2.935683145,0.003328141,0.034231798
Elmod1,684.7992478,-1.271245058,0.433374482,-2.933363892,0.003353106,0.034438297
Larp4,206.6017081,1.536906133,0.524106293,2.932432129,0.003363184,0.034483937
Rock2,1272.508665,0.908297864,0.309752119,2.93233786,0.003364205,0.034483937
Kcnab2,829.3847535,-1.156528168,0.39496174,-2.928203039,0.003409273,0.034911363
Tmtc1,394.153167,1.323361389,0.452092259,2.927193207,0.003420363,0.03499035
Fam19a2,276.7886595,-2.125649101,0.726430385,-2.926156651,0.003431781,0.035045337
Tbc1d7,94.38386798,-2.629814986,0.898746731,-2.926091295,0.003432502,0.035045337
Dcc,254.9480385,-1.580766472,0.540459273,-2.924857713,0.003446138,0.035115362
Mc1r,75.48284606,1.444896867,0.4939967,2.924911982,0.003445537,0.035115362
Zfr2,147.1087641,-1.933018556,0.660972064,-2.924508707,0.003450004,0.03512023
Lrrn1,355.1672715,-2.143504537,0.733180651,-2.923569428,0.00346043,0.035191797
Tspyl5,700.1926793,1.357208968,0.464454426,2.922157464,0.003476157,0.035317078
Cry1,128.9883653,2.196690403,0.751894431,2.921540994,0.003483044,0.035352388
Extl2,406.5965142,-2.224141227,0.762575146,-2.916619088,0.003538476,0.035756237
Agap2,177.4535114,-1.385462205,0.474965482,-2.916974512,0.003534447,0.035756237
Fbxw17,84.79807733,-2.633546346,0.903082911,-2.91617338,0.003543535,0.035756237
Hint1,1205.221225,1.024809981,0.351279259,2.91736547,0.003530019,0.035756237
Pim2,201.8268578,-2.207707269,0.756810739,-2.917119375,0.003532805,0.035756237
Pus7l,33.25928475,3.246528335,1.113224604,2.916328227,0.003541777,0.035756237
4933431E20Rik,210.4389336,-1.67127449,0.573718895,-2.913054639,0.00357912,0.036080173
