ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Klhl31,633.7881666,-2.037888446,0.342534552,5.949439065,2.69E-09,8.90E-08
Chek1,84.16807633,-2.038101982,0.297813693,6.843546931,7.73E-12,3.98E-10
Defb35,72.8893024,-2.038443533,0.460327281,4.428248373,9.50E-06,0.000151041
Rnu73b,38.32332798,-2.039640954,0.527821866,3.864260059,0.000111426,0.001289615
2700070H01Rik,81.35629766,-2.046370666,0.40271249,5.081468082,3.75E-07,8.29E-06
A530013C23Rik,52.04366393,-2.047844937,0.557491736,3.67331891,0.00023942,0.002466867
C130074G19Rik,717.8300733,-2.05193312,0.244707347,8.385253419,5.06E-17,5.09E-15
Oxsm,175.1368022,-2.052548731,0.311237935,6.594789717,4.26E-11,1.98E-09
Apold1,173.7285738,-2.053503873,0.317362979,6.470521169,9.77E-11,4.17E-09
Tcte1,53.59786727,-2.054515895,0.393002464,5.227743037,1.72E-07,4.05E-06
Cd300lg,803.8345665,-2.056174527,0.358375915,5.737479665,9.61E-09,2.84E-07
Tmem132c,225.3526545,-2.056781103,0.254736968,8.074136716,6.80E-16,6.07E-14
Dlgap5,47.85733081,-2.056929824,0.619805442,3.318670157,0.000904472,0.00752458
Rab21,243.2578824,-2.064426233,0.27698951,7.453084528,9.12E-14,6.18E-12
C920021L13Rik,119.4806151,-2.067566144,0.512893968,4.031176566,5.55E-05,0.000706036
Tshz3,1221.007047,-2.071223851,0.221319065,9.358542394,8.08E-21,1.11E-18
Tbx3,34.60412009,-2.071838139,0.478190941,4.332658697,1.47E-05,0.000222235
Gcnt4,154.2125465,-2.072476031,0.276170013,7.504348528,6.17E-14,4.30E-12
Hhex,64.45835114,-2.072600592,0.389825124,5.316744514,1.06E-07,2.58E-06
C3ar1,146.8377564,-2.075814711,0.292763238,7.090421342,1.34E-12,7.67E-11
Hoxd11,138.1192569,-2.076620473,0.398864795,5.206326799,1.93E-07,4.50E-06
Phex,3061.365293,-2.083824187,0.575224491,3.622627722,0.000291625,0.002899861
Gm19434,102.6029241,-2.085530351,0.29259129,7.127793683,1.02E-12,5.97E-11
Tnfsf15,96.57689383,-2.087461983,0.365485372,5.711478879,1.12E-08,3.26E-07
Arpc1b,333.5901149,-2.088766906,0.367259829,5.687436364,1.29E-08,3.72E-07
Enpp4,220.3626131,-2.090476709,0.244339633,8.555618587,1.17E-17,1.30E-15
Sox9,1120.743332,-2.092450167,0.328762117,6.364632849,1.96E-10,7.78E-09
Tnfaip6,64.91974775,-2.095150629,0.335976036,6.236012113,4.49E-10,1.69E-08
Ado,248.3191234,-2.101165589,0.316573063,6.637221658,3.20E-11,1.53E-09
Nuak2,46.45629487,-2.106019928,0.423650868,4.971121473,6.66E-07,1.41E-05
Pcyt1b,379.9346002,-2.107414361,0.244088253,8.633821297,5.93E-18,6.69E-16
Hoxc8,160.5708158,-2.111616604,0.377170315,5.598575814,2.16E-08,5.92E-07
E130102H24Rik,102.1880694,-2.114259131,0.292283362,7.233593856,4.70E-13,2.87E-11
A530099J19Rik,39.99495112,-2.119023757,0.57427278,3.689925469,0.00022432,0.002345796
Emx2os,233.2799538,-2.120758789,0.252166252,8.410161057,4.09E-17,4.15E-15
Frk,136.8292286,-2.123167071,0.280427623,7.571176653,3.70E-14,2.68E-12
Tbx15,43.69531571,-2.12481563,0.435506035,4.878957948,1.07E-06,2.16E-05
Ppara,98.79201552,-2.134400511,0.348169759,6.130344333,8.77E-10,3.11E-08
Chic1,1422.931173,-2.134737657,0.248743893,8.582070641,9.32E-18,1.04E-15
Zic3,30.95275916,-2.139307018,0.487334006,4.389816824,1.13E-05,0.000175873
Dhx40,3090.807698,-2.14046192,0.261440906,8.187172962,2.67E-16,2.47E-14
Gm13939,16.94866518,-2.151864077,0.657673485,3.271933759,0.001068146,0.008679977
Ifi44,61.4695801,-2.152039055,0.345974689,6.220221081,4.96E-10,1.85E-08
4930563E18Rik,110.1539929,-2.156080932,0.357355685,6.033431187,1.61E-09,5.48E-08
Map3k1,915.3273902,-2.156472532,0.275085636,7.83927713,4.53E-15,3.66E-13
CK137956,219.5978007,-2.156564697,0.244519693,8.81959516,1.15E-18,1.39E-16
Ceacam18,74.77575774,-2.162964019,0.364737863,5.930187788,3.03E-09,9.95E-08
Gpr20,35.99813942,-2.166266025,0.549754396,3.940425106,8.13E-05,0.00098133
Palb2,121.1235877,-2.168526302,0.279987745,7.745075768,9.55E-15,7.43E-13
Gm8221,524.4263916,-2.175133826,0.354132379,6.142148961,8.14E-10,2.90E-08
Cnn2,53.87689136,-2.176646137,0.479615092,4.53831869,5.67E-06,9.57E-05
Gm20745,392.2898828,-2.182059141,0.214934267,10.15221615,3.24E-24,6.26E-22
Csf2rb2,1847.75624,-2.183295322,0.180160062,12.11864215,8.41E-34,3.93E-31
4930578E11Rik,375.3510376,-2.183467563,0.304965554,7.159718643,8.08E-13,4.82E-11
Mill1,27.78699558,-2.18381316,0.663300626,3.292342981,0.000993564,0.008152752
Six2,137.21384,-2.187950315,0.408339221,5.358168416,8.41E-08,2.08E-06
Rbms3,415.2314627,-2.195128009,0.294599729,7.451222102,9.25E-14,6.24E-12
Eppk1,172.6617753,-2.196506062,0.2828917,7.764476873,8.20E-15,6.41E-13
Pigr,510.7097054,-2.197865912,0.608893789,3.60960475,0.000306664,0.003033247
Ly96,61.2228994,-2.202187242,0.349153117,6.30722493,2.84E-10,1.10E-08
Sftpb,18.35438091,-2.203933864,0.63256822,3.48410463,0.000493786,0.004522115
Kctd12b,158.19571,-2.209415912,0.324962995,6.798976951,1.05E-11,5.30E-10
Btbd9,1892.93437,-2.211131817,0.305783569,7.231035418,4.79E-13,2.92E-11
Serpinb1c,247.57959,-2.21366283,0.372827296,5.937502043,2.89E-09,9.54E-08
Slc7a13,200.6144268,-2.221529058,0.368391662,6.030345655,1.64E-09,5.57E-08
Wdr37,2166.378702,-2.235813982,0.304215777,7.349434677,1.99E-13,1.27E-11
Bmp4,138.7396147,-2.241921014,0.34269631,6.54200512,6.07E-11,2.75E-09
Gm10536,32.28948799,-2.244630411,0.485271573,4.625513908,3.74E-06,6.60E-05
Clrn1,1246.856207,-2.246624255,0.649145416,3.460895202,0.000538382,0.004882631
Cd274,1105.639808,-2.252983024,0.344677008,6.536505106,6.30E-11,2.82E-09
Trmt10a,1564.615385,-2.253791875,0.298721592,7.544790656,4.53E-14,3.23E-12
Gatad1,180.3407009,-2.25381619,0.326226919,6.908737634,4.89E-12,2.58E-10
Gm15441,134.2528389,-2.257433128,0.393655579,5.734538638,9.78E-09,2.89E-07
Kcnj15,325.4016155,-2.264623078,0.313736894,7.218223685,5.27E-13,3.20E-11
Cd59a,316.2149488,-2.273574915,0.282268015,8.054667165,7.97E-16,7.05E-14
Gm6249,240.0093791,-2.276216897,0.290260511,7.841979218,4.43E-15,3.62E-13
Pou4f2,35.79008897,-2.278936149,0.635469139,3.586226313,0.000335498,0.00326843
Fmo5,487.4335237,-2.287737503,0.296326599,7.720324505,1.16E-14,8.94E-13
Ceacam20,49.19798328,-2.297542618,0.51371969,4.472366281,7.74E-06,0.00012597
Grap,221.6052415,-2.300876843,0.308098811,7.467983514,8.14E-14,5.54E-12
Loxl2,789.0455623,-2.302180301,0.238723274,9.643719533,5.23E-22,7.98E-20
4932416K20Rik,159.9580411,-2.305092693,0.48555271,4.747358312,2.06E-06,3.89E-05
Serpinb13,94.26317257,-2.305507882,0.407342543,5.65987501,1.51E-08,4.29E-07
Gm20187,781.6506748,-2.314236685,0.289032994,8.006825274,1.18E-15,1.02E-13
Piwil1,129.7638385,-2.319503171,0.356256111,6.510774404,7.48E-11,3.31E-09
Muc13,42.44038818,-2.323226648,0.438298743,5.300555128,1.15E-07,2.80E-06
Lhx9,219.3028896,-2.329013214,0.252064795,9.239740162,2.47E-20,3.30E-18
Gm10400,15.18551253,-2.334720051,0.686800462,3.399415377,0.000675301,0.005938477
Piga,660.3562031,-2.334815974,0.23263276,10.03648828,1.05E-23,1.90E-21
F2rl1,193.0497261,-2.3370356,0.304325803,7.679386957,1.60E-14,1.20E-12
C030029H02Rik,701.477436,-2.343165202,0.327019511,7.165215305,7.77E-13,4.66E-11
Rest,299.4338211,-2.343491601,0.675474313,3.469401511,0.000521619,0.004748544
Kctd14,368.6306111,-2.345829068,0.352598042,6.652983814,2.87E-11,1.38E-09
C130080G10Rik,65.94499889,-2.358234782,0.423355685,5.570339237,2.54E-08,6.89E-07
H2-M2,78.97391628,-2.361636431,0.371687578,6.353821251,2.10E-10,8.29E-09
Gpc3,55.11740764,-2.364289001,0.546696905,4.324679691,1.53E-05,0.00022879
Fgf16,55.76577,-2.367265831,0.538195441,4.398524496,1.09E-05,0.000169276
Ggt5,249.0706166,-2.368495179,0.341106451,6.943566066,3.82E-12,2.03E-10
Ube2u,1519.868178,-2.370129824,0.683787821,3.4661773,0.000527915,0.00479806
Ebf1,86.86032605,-2.370193847,0.400303866,5.920986653,3.20E-09,1.05E-07
Wfdc13,56.87288613,-2.379424811,0.583240549,4.079662871,4.51E-05,0.000591204
Calcrl,147.6339227,-2.379557465,0.338572357,7.028209517,2.09E-12,1.16E-10
Ddit4l,842.8639368,-2.380887008,0.218086992,10.91714361,9.55E-28,2.72E-25
Ednrb,690.8805505,-2.388427169,0.364021642,6.56122299,5.34E-11,2.44E-09
Stxbp3b,102.0339577,-2.389752309,0.325146604,7.349768629,1.99E-13,1.27E-11
Med18,338.3334816,-2.395547327,0.191882504,12.48444899,9.08E-36,4.92E-33
3110015C05Rik,269.517163,-2.39991887,0.226119846,10.6134818,2.58E-26,5.94E-24
Qrfp,18.99133763,-2.407817348,0.720554971,3.341615067,0.000832925,0.007069344
Lbh,690.9851077,-2.407971539,0.251895336,9.559412957,1.18E-21,1.75E-19
Rgs9bp,1862.611951,-2.411171564,0.242828051,9.929542943,3.10E-23,5.20E-21
Slco1a1,72.62388456,-2.422960681,0.511243713,4.739345678,2.14E-06,4.03E-05
Agl,1509.313756,-2.425242286,0.208277815,11.644266,2.45E-31,1.01E-28
Itgb3,105.1773647,-2.431437318,0.291374032,8.344728939,7.14E-17,7.06E-15
Scd4,52.90708365,-2.432081371,0.457925903,5.311080578,1.09E-07,2.66E-06
Dbt,516.6250136,-2.432442481,0.288747511,8.424115844,3.63E-17,3.70E-15
Prop1,87.97853923,-2.433433741,0.304820032,7.983181834,1.43E-15,1.22E-13
5830403L16Rik,77.43141143,-2.441236027,0.384196505,6.354133879,2.10E-10,8.29E-09
Il21r,92.17021619,-2.449659305,0.302625923,8.094677685,5.74E-16,5.16E-14
Zfp229,226.7969238,-2.453041671,0.244435944,10.03551946,1.06E-23,1.90E-21
Gm3230,37.31480836,-2.454654243,0.583805423,4.20457595,2.62E-05,0.000366921
4930502E18Rik,25.71752144,-2.458588082,0.558762812,4.400056747,1.08E-05,0.000168241
Cntd1,62.19112578,-2.462657823,0.52806516,4.663549142,3.11E-06,5.62E-05
Lingo4,597.5386913,-2.466141079,0.230126461,10.7164603,8.52E-27,2.20E-24
1200014J11Rik,1621.21955,-2.470096451,0.195044973,12.66424051,9.33E-37,5.60E-34
Mlph,464.7911528,-2.485084756,0.376392228,6.602380626,4.05E-11,1.91E-09
Zfp113,1750.169507,-2.486298314,0.277720774,8.952511094,3.47E-19,4.42E-17
Gm8179,998.6712125,-2.488108832,0.178662486,13.92630815,4.38E-44,4.60E-41
Treml2,126.3124023,-2.488915819,0.280182739,8.883187562,6.50E-19,7.97E-17
A130010J15Rik,452.5229984,-2.491388344,0.292431266,8.519568977,1.60E-17,1.73E-15
Foxa3,219.8522462,-2.491933818,0.365013425,6.826964829,8.67E-12,4.40E-10
Bcmo1,1001.753757,-2.498445791,0.305885091,8.167922746,3.14E-16,2.88E-14
Mir300,35.23469908,-2.507108099,0.724903329,3.458541297,0.000543109,0.004917536
Ermp1,2230.922383,-2.508621294,0.261895242,9.578720389,9.83E-22,1.47E-19
