,geo_accession,sampleID,age,Arc,Ctip2,Fos,Prox1,gender,exposure,cell.type,strain
X160622_12,GSM3309017,X160622_12,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_13,GSM3309018,X160622_13,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_14,GSM3309019,X160622_14,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_15,GSM3309020,X160622_15,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_16,GSM3309021,X160622_16,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_17,GSM3309022,X160622_17,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_18,GSM3309023,X160622_18,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_19,GSM3309024,X160622_19,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_20,GSM3309025,X160622_20,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_21,GSM3309026,X160622_21,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_22,GSM3309027,X160622_22,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_23,GSM3309028,X160622_23,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_24,GSM3309029,X160622_24,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_25,GSM3309030,X160622_25,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_26,GSM3309031,X160622_26,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_27,GSM3309032,X160622_27,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_28,GSM3309033,X160622_28,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_29,GSM3309034,X160622_29,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_30,GSM3309035,X160622_30,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_31,GSM3309036,X160622_31,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_32,GSM3309037,X160622_32,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_33,GSM3309038,X160622_33,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_34,GSM3309039,X160622_34,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_35,GSM3309040,X160622_35,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_36,GSM3309041,X160622_36,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_37,GSM3309042,X160622_37,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_38,GSM3309043,X160622_38,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_39,GSM3309044,X160622_39,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_40,GSM3309045,X160622_40,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_41,GSM3309046,X160622_41,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_42,GSM3309047,X160622_42,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_43,GSM3309048,X160622_43,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_44,GSM3309049,X160622_44,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_45,GSM3309050,X160622_45,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_46,GSM3309051,X160622_46,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_47,GSM3309052,X160622_47,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X160622_48,GSM3309053,X160622_48,9,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X161121_01,GSM3309054,X161121_01,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_02,GSM3309055,X161121_02,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_03,GSM3309056,X161121_03,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_04,GSM3309057,X161121_04,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_05,GSM3309058,X161121_05,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_06,GSM3309059,X161121_06,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_07,GSM3309060,X161121_07,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_08,GSM3309061,X161121_08,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_09,GSM3309062,X161121_09,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_10,GSM3309063,X161121_10,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_11,GSM3309064,X161121_11,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_12,GSM3309065,X161121_12,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_13,GSM3309066,X161121_13,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_14,GSM3309067,X161121_14,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_15,GSM3309068,X161121_15,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_16,GSM3309069,X161121_16,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_17,GSM3309070,X161121_17,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_18,GSM3309071,X161121_18,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_19,GSM3309072,X161121_19,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_20,GSM3309073,X161121_20,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_21,GSM3309074,X161121_21,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_22,GSM3309075,X161121_22,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_23,GSM3309076,X161121_23,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_24,GSM3309077,X161121_24,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_25,GSM3309078,X161121_25,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_26,GSM3309079,X161121_26,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_27,GSM3309080,X161121_27,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_28,GSM3309081,X161121_28,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_29,GSM3309082,X161121_29,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_30,GSM3309083,X161121_30,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_31,GSM3309084,X161121_31,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_32,GSM3309085,X161121_32,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_33,GSM3309086,X161121_33,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_34,GSM3309087,X161121_34,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_35,GSM3309088,X161121_35,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_36,GSM3309089,X161121_36,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_37,GSM3309090,X161121_37,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_38,GSM3309091,X161121_38,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_39,GSM3309092,X161121_39,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_40,GSM3309093,X161121_40,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_41,GSM3309094,X161121_41,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_42,GSM3309095,X161121_42,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_43,GSM3309096,X161121_43,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_44,GSM3309097,X161121_44,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_45,GSM3309098,X161121_45,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_46,GSM3309099,X161121_46,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_47,GSM3309100,X161121_47,9,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161121_48,GSM3309101,X161121_48,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X161209_04,GSM3309102,X161209_04,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_05,GSM3309103,X161209_05,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_06,GSM3309104,X161209_06,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_10,GSM3309105,X161209_10,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_11,GSM3309106,X161209_11,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_12,GSM3309107,X161209_12,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_16,GSM3309108,X161209_16,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_17,GSM3309109,X161209_17,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_18,GSM3309110,X161209_18,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_22,GSM3309111,X161209_22,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_23,GSM3309112,X161209_23,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_24,GSM3309113,X161209_24,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_28,GSM3309114,X161209_28,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_29,GSM3309115,X161209_29,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_30,GSM3309116,X161209_30,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_34,GSM3309117,X161209_34,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_35,GSM3309118,X161209_35,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_36,GSM3309119,X161209_36,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_40,GSM3309120,X161209_40,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_41,GSM3309121,X161209_41,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_42,GSM3309122,X161209_42,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_46,GSM3309123,X161209_46,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_47,GSM3309124,X161209_47,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X161209_48,GSM3309125,X161209_48,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_01,GSM3309126,X170113_01,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_02,GSM3309127,X170113_02,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_03,GSM3309128,X170113_03,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_04,GSM3309129,X170113_04,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_05,GSM3309130,X170113_05,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_06,GSM3309131,X170113_06,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_07,GSM3309132,X170113_07,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_08,GSM3309133,X170113_08,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_09,GSM3309134,X170113_09,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_10,GSM3309135,X170113_10,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_11,GSM3309136,X170113_11,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_12,GSM3309137,X170113_12,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_13,GSM3309138,X170113_13,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_14,GSM3309139,X170113_14,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_15,GSM3309140,X170113_15,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_16,GSM3309141,X170113_16,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_17,GSM3309142,X170113_17,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_18,GSM3309143,X170113_18,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_19,GSM3309144,X170113_19,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_20,GSM3309145,X170113_20,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_21,GSM3309146,X170113_21,8.875,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_22,GSM3309147,X170113_22,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_23,GSM3309148,X170113_23,8.875,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_24,GSM3309149,X170113_24,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_25,GSM3309150,X170113_25,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_26,GSM3309151,X170113_26,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_27,GSM3309152,X170113_27,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_28,GSM3309153,X170113_28,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_29,GSM3309154,X170113_29,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_30,GSM3309155,X170113_30,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_31,GSM3309156,X170113_31,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_32,GSM3309157,X170113_32,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_33,GSM3309158,X170113_33,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_34,GSM3309159,X170113_34,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_35,GSM3309160,X170113_35,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_36,GSM3309161,X170113_36,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_37,GSM3309162,X170113_37,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_38,GSM3309163,X170113_38,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_39,GSM3309164,X170113_39,7.75,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_40,GSM3309165,X170113_40,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_41,GSM3309166,X170113_41,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_42,GSM3309167,X170113_42,7.75,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_43,GSM3309168,X170113_43,8.57,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_44,GSM3309169,X170113_44,8.57,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_45,GSM3309170,X170113_45,8.57,Yes,Yes,No,Yes,Female,4hr,Unknown,C57BL6
X170113_46,GSM3309171,X170113_46,8.57,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_47,GSM3309172,X170113_47,8.57,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170113_48,GSM3309173,X170113_48,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170224_01,GSM3309174,X170224_01,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_02,GSM3309175,X170224_02,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_03,GSM3309176,X170224_03,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_04,GSM3309177,X170224_04,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_05,GSM3309178,X170224_05,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_06,GSM3309179,X170224_06,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_07,GSM3309180,X170224_07,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_08,GSM3309181,X170224_08,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_09,GSM3309182,X170224_09,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_10,GSM3309183,X170224_10,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_11,GSM3309184,X170224_11,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_12,GSM3309185,X170224_12,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_13,GSM3309186,X170224_13,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_14,GSM3309187,X170224_14,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_15,GSM3309188,X170224_15,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_16,GSM3309189,X170224_16,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_17,GSM3309190,X170224_17,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_18,GSM3309191,X170224_18,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_19,GSM3309192,X170224_19,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_20,GSM3309193,X170224_20,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_21,GSM3309194,X170224_21,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_22,GSM3309195,X170224_22,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_23,GSM3309196,X170224_23,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_24,GSM3309197,X170224_24,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_25,GSM3309198,X170224_25,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_26,GSM3309199,X170224_26,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_27,GSM3309200,X170224_27,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_28,GSM3309201,X170224_28,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_29,GSM3309202,X170224_29,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_30,GSM3309203,X170224_30,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_31,GSM3309204,X170224_31,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_32,GSM3309205,X170224_32,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_33,GSM3309206,X170224_33,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_34,GSM3309207,X170224_34,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_35,GSM3309208,X170224_35,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_36,GSM3309209,X170224_36,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_37,GSM3309210,X170224_37,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_38,GSM3309211,X170224_38,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_39,GSM3309212,X170224_39,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_40,GSM3309213,X170224_40,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_41,GSM3309214,X170224_41,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_42,GSM3309215,X170224_42,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_43,GSM3309216,X170224_43,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_44,GSM3309217,X170224_44,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_45,GSM3309218,X170224_45,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_46,GSM3309219,X170224_46,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_47,GSM3309220,X170224_47,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170224_48,GSM3309221,X170224_48,8.85,Yes,Yes,No,Yes,Female,5hr,Unknown,C57BL6
X170525_01,GSM3309222,X170525_01,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_02,GSM3309223,X170525_02,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_03,GSM3309224,X170525_03,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_04,GSM3309225,X170525_04,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_05,GSM3309226,X170525_05,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_06,GSM3309227,X170525_06,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_07,GSM3309228,X170525_07,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_08,GSM3309229,X170525_08,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_09,GSM3309230,X170525_09,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_10,GSM3309231,X170525_10,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_11,GSM3309232,X170525_11,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_12,GSM3309233,X170525_12,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_13,GSM3309234,X170525_13,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_14,GSM3309235,X170525_14,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_15,GSM3309236,X170525_15,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_16,GSM3309237,X170525_16,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_17,GSM3309238,X170525_17,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_18,GSM3309239,X170525_18,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_19,GSM3309240,X170525_19,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_20,GSM3309241,X170525_20,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_21,GSM3309242,X170525_21,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_22,GSM3309243,X170525_22,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_23,GSM3309244,X170525_23,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_24,GSM3309245,X170525_24,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_25,GSM3309246,X170525_25,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_26,GSM3309247,X170525_26,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_27,GSM3309248,X170525_27,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_28,GSM3309249,X170525_28,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_29,GSM3309250,X170525_29,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_30,GSM3309251,X170525_30,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_31,GSM3309252,X170525_31,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_32,GSM3309253,X170525_32,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_33,GSM3309254,X170525_33,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_34,GSM3309255,X170525_34,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_35,GSM3309256,X170525_35,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_36,GSM3309257,X170525_36,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_37,GSM3309258,X170525_37,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_38,GSM3309259,X170525_38,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_39,GSM3309260,X170525_39,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_40,GSM3309261,X170525_40,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_41,GSM3309262,X170525_41,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_42,GSM3309263,X170525_42,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_43,GSM3309264,X170525_43,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_44,GSM3309265,X170525_44,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_45,GSM3309266,X170525_45,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_46,GSM3309267,X170525_46,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_47,GSM3309268,X170525_47,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_48,GSM3309269,X170525_48,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_49,GSM3309270,X170525_49,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
